state_code,violation_code,vehicle_class,base_fine,repeat_fine,section,description,note
AP,194B,,1000,,Section 194B,Failure to wear seat belt.,"Andhra Pradesh adopted central seat belt fine of ₹1,000.; Andhra Pradesh Transport Department; effective 2019-10-01; verified 2026-05-30; source https://aptransport.org"
AP,194C,,1000,,Section 194C,Triple riding on a two-wheeler.,"Andhra Pradesh adopted central triple riding fine of ₹1,000.; Andhra Pradesh Transport Department; effective 2019-10-01; verified 2026-05-30; source https://aptransport.org"
AP,194D,,500,,Section 194D,Failure to wear protective headgear on a two-wheeler.,Andhra Pradesh adopted central MV Amendment 2019 base rates.; Andhra Pradesh Transport Department; effective 2019-10-01; verified 2026-04-14; source https://aptransport.org
DL,181,,5000,,,Driving without a valid driving licence.,"Delhi follows central driving without license fine of ₹5,000.; Delhi Traffic Police published penalty schedule; effective 2019-09-01; verified 2026-05-30; source https://traffic.delhipolice.gov.in"
DL,194B,,1000,,Section 194B,Failure to wear seat belt.,"Delhi follows central seat belt fine of ₹1,000 under central compounding schedule.; Delhi Traffic Police published penalty schedule; effective 2019-09-01; verified 2026-05-30; source https://traffic.delhipolice.gov.in"
DL,194C,,1000,,Section 194C,Triple riding on two-wheeler.,"Delhi follows central triple riding fine of ₹1,000 under central compounding schedule.; Delhi Traffic Police published penalty schedule; effective 2019-09-01; verified 2026-05-30; source https://traffic.delhipolice.gov.in"
DL,194D,,1000,,Section 194D,Failure to wear protective headgear.,"Delhi helmet violation compounding fee set to ₹1,000 as per central act.; Delhi Traffic Police published penalty schedule; effective 2019-09-01; verified 2026-05-30; source https://traffic.delhipolice.gov.in"
DL,194E,,10000,,Section 194E,Failure to give free passage to an emergency vehicle.,Verified against the current Delhi Traffic Police offence schedule.; Delhi Traffic Police published penalty schedule; effective 2019-09-01; verified 2026-04-14; source https://traffic.delhipolice.gov.in/traffic-offences
GJ,181,,3000,,,Driving without a valid driving license.,"Gujarat state driving without license fine reduced to ₹3,000 for LMV.; Ports and Transport Department Gujarat; effective 2019-09-16; verified 2026-05-30; source https://transport.gujarat.gov.in"
GJ,185FIRST,,10000,,Section 185,Driving under the influence of alcohol or drugs - first offence.,Gujarat state applies central 2019 amendment rates for drunk driving.; Gujarat Transport Commissioner; effective 2019-09-02; verified 2026-04-14; source https://transport.gujarat.gov.in
GJ,194B,,500,,Section 194B,Failure to wear seat belt.,Gujarat state seat belt fine reduced to ₹500 under state compounding rules.; Ports and Transport Department Gujarat; effective 2019-09-16; verified 2026-05-30; source https://transport.gujarat.gov.in
GJ,194C,,100,,Section 194C,Triple riding on a two-wheeler.,Gujarat state triple riding fine reduced to ₹100 under state compounding rules.; Ports and Transport Department Gujarat; effective 2019-09-16; verified 2026-05-30; source https://transport.gujarat.gov.in
GJ,194D,,500,,Section 194D,Failure to wear protective headgear on a two-wheeler.,Gujarat adopted central 2019 amendment compounding rates.; Gujarat Transport Commissioner; effective 2019-09-02; verified 2026-04-14; source https://transport.gujarat.gov.in
KA,181,,2000,,,Driving without a valid driving license.,"Karnataka state driving without license fine reduced to ₹2,000 for LMV.; Transport Secretariat Karnataka; effective 2019-09-21; verified 2026-05-30; source https://transport.karnataka.gov.in"
KA,183LMV,,1000,,Section 183,Overspeeding by Light Motor Vehicle (LMV).,"Karnataka state overspeeding fine for LMV set to ₹1,000.; Transport Secretariat Karnataka; effective 2019-09-21; verified 2026-05-30; source https://transport.karnataka.gov.in"
KA,194B,,500,,Section 194B,Failure to wear seat belt.,Karnataka state seat belt fine reduced to ₹500 under compounding gazette notification.; Transport Secretariat Karnataka; effective 2019-09-21; verified 2026-05-30; source https://transport.karnataka.gov.in
KA,194C,,500,,Section 194C,Violation of motorcycle safety measures including triple riding.,Karnataka state triple riding fine reduced to ₹500 under compounding gazette.; Transport Secretariat Karnataka; effective 2019-09-21; verified 2026-05-30; source https://transport.karnataka.gov.in
KA,194D,,500,,Sections 129/194D,Failure to wear protective headgear on a two-wheeler where required.,Verified against the Bengaluru Traffic Police public FAQ page.; Bengaluru Traffic Police published FAQ schedule; effective 2019-09-01; verified 2026-04-14; source https://btp.gov.in/FAQs.aspx
KL,194B,,500,,Section 194B,Failure to wear seat belt.,Kerala seat belt fine set to ₹500 under state compounding rules.; Transport Department Kerala; effective 2019-12-05; verified 2026-05-30; source https://mvd.kerala.gov.in
KL,194C,,1000,,Section 194C,Triple riding on two-wheeler.,"Kerala triple riding fine set to ₹1,000 under compounding rules.; Transport Department Kerala; effective 2019-12-05; verified 2026-05-30; source https://mvd.kerala.gov.in"
KL,194D,,500,,Section 194D,Driving a motor cycle or allowing a motor cycle to be driven without protective headgear.,"Official Kerala gazette-backed compounding-fee notification; the PDF states it superseded S.R.O. No.594/2019.; Transport Department, Government of Kerala; effective 2019-12-05; verified 2026-04-14; source https://mvd.kerala.gov.in/sites/default/files/Downloads/notication_compounding%20fee.pdf"
MH,183LMV,,1500,,Section 183,Overspeeding by light motor vehicle in Mumbai metropolitan region.,Enhanced fine applicable in Mumbai metropolitan region per local traffic police notification.; Mumbai Traffic Police published schedule; effective 2020-01-01; verified 2026-04-14; source https://mumbaitraffic.org
MH,194B,,500,,Section 194B,Failure to wear seat belt.,Maharashtra seat belt fine compounding set to ₹500 under revised schedule.; Home Department Maharashtra; effective 2021-12-01; verified 2026-05-30; source https://transport.maharashtra.gov.in
MH,194D,,500,,Section 194D,Failure to wear protective headgear on a two-wheeler.,Maharashtra adopted central MV Amendment 2019 base fine without state modification.; Maharashtra Transport Department; effective 2019-09-01; verified 2026-04-14; source https://transport.maharashtra.gov.in
TN,181,,5000,,,Driving without a valid driving licence.,"Tamil Nadu driving without license fine set to ₹5,000.; Home Department (Transport-VII); effective 2022-10-20; verified 2026-05-30; source https://www.stationeryprinting.tn.gov.in/extraordinary/2022/491_Ex_II_2.pdf"
TN,183HMV,,2000,,Section 183,Overspeeding by heavy goods vehicle or passenger transport vehicle.,"Compounding fee for heavy motor vehicle overspeeding ₹2,000; Home Department effective 2022-10-20.; Home Department (Transport-VII); effective 2022-10-20; verified 2026-04-14; source https://www.stationeryprinting.tn.gov.in/extraordinary/2022/491_Ex_II_2.pdf"
TN,183LMV,,1000,,Section 183,Overspeeding by light motor vehicle or standard private vehicle.,"Compounding fee for light motor vehicle overspeeding ₹1,000; Home Department effective 2022-10-20.; Home Department (Transport-VII); effective 2022-10-20; verified 2026-04-14; source https://www.stationeryprinting.tn.gov.in/extraordinary/2022/491_Ex_II_2.pdf"
TN,194B,,1000,,Section 194B,Failure to wear seat belt.,"Tamil Nadu seat belt violation compounding fee set to ₹1,000.; Home Department (Transport-VII); effective 2022-10-20; verified 2026-05-30; source https://www.stationeryprinting.tn.gov.in/extraordinary/2022/491_Ex_II_2.pdf"
TN,194C,,1000,,Section 194C,Triple riding on a two-wheeler.,"Tamil Nadu triple riding compounding fee set to ₹1,000.; Home Department (Transport-VII); effective 2022-10-20; verified 2026-05-30; source https://www.stationeryprinting.tn.gov.in/extraordinary/2022/491_Ex_II_2.pdf"
TN,194D,,1000,,Section 194D,Driving a motor cycle or allowing a motor cycle to be driven without protective headgear.,Official Tamil Nadu compounding notification under section 200 of the Motor Vehicles Act.; Home Department (Transport-VII); effective 2022-10-20; verified 2026-04-14; source https://www.stationeryprinting.tn.gov.in/extraordinary/2022/491_Ex_II_2.pdf
TS,194B,,1000,,Section 194B,Failure to wear seat belt.,"Telangana adopted central seat belt fine of ₹1,000.; Telangana Transport Department; effective 2019-09-01; verified 2026-05-30; source https://transport.telangana.gov.in"
TS,194C,,1000,,Section 194C,Violation of motorcycle safety measures including triple riding.,Telangana adopted central 2019 rates; triple riding enforcement enhanced in Hyderabad.; Telangana Transport Department; effective 2019-09-01; verified 2026-04-14; source https://transport.telangana.gov.in
TS,194D,,1000,,Section 194D,Failure to wear protective headgear.,"Telangana adopted central helmet fine of ₹1,000.; Telangana Transport Department; effective 2019-09-01; verified 2026-05-30; source https://transport.telangana.gov.in"
UP,181,,5000,,,Driving without a valid driving licence.,Uttar Pradesh adopted central 2019 amendment rates; heavy enforcement on state highways.; Uttar Pradesh Transport Department; effective 2019-09-01; verified 2026-04-14; source https://uptransport.upsdc.gov.in
UP,194B,,1000,,Section 194B,Failure to wear seat belt.,"Uttar Pradesh adopted central seat belt fine of ₹1,000.; Uttar Pradesh Transport Department; effective 2019-09-01; verified 2026-05-30; source https://uptransport.upsdc.gov.in"
UP,194D,,1000,,Section 194D,Failure to wear protective headgear.,"Uttar Pradesh adopted central helmet fine of ₹1,000.; Uttar Pradesh Transport Department; effective 2019-09-01; verified 2026-05-30; source https://uptransport.upsdc.gov.in"
WB,184,,5000,,Section 184,Dangerous or reckless driving.,West Bengal adopted central 2019 amendment base rates for dangerous driving.; West Bengal Transport Department; effective 2019-09-01; verified 2026-04-14; source https://transport.wb.gov.in
WB,194B,,1000,,Section 194B,Failure to wear seat belt.,"West Bengal adopted central seat belt fine of ₹1,000.; West Bengal Transport Department; effective 2019-09-01; verified 2026-05-30; source https://transport.wb.gov.in"
WB,194D,,1000,,Section 194D,Failure to wear protective headgear.,"West Bengal adopted central helmet fine of ₹1,000.; West Bengal Transport Department; effective 2019-09-01; verified 2026-05-30; source https://transport.wb.gov.in"
